timestamp publish_pose video_counter image_counter
1732203477.154604 1 426 425
1732203477.554587 1 427 426
1732203477.955832 1 428 427
1732203478.354606 1 429 428
1732203478.754388 1 430 429
1732203479.155177 1 431 430
1732203479.554562 1 432 431
1732203479.954636 1 433 432
1732203480.354615 1 434 433
1732203480.754719 1 435 434
1732203481.154368 1 436 435
1732203481.554369 1 437 436
1732203481.954565 1 438 437
1732203482.354525 1 439 438
1732203482.754534 1 440 439
1732203483.154639 1 441 440
1732203483.554332 1 442 441
1732203483.954374 1 443 442
1732203484.354524 0 443 443
1732203484.754506 1 444 443
1732203485.154701 0 444 444
1732203485.554503 1 445 444
1732203485.956228 0 445 445
1732203486.354343 1 446 445
1732203486.754633 0 446 446
1732203487.154501 1 447 446
1732203487.555549 0 447 447
1732203487.955525 1 448 447
1732203488.354548 0 448 448
1732203488.754289 1 449 448
1732203489.154286 1 450 449
1732203489.554456 1 451 450
1732203489.954488 1 452 451
1732203490.354471 1 453 452
1732203490.754457 1 454 453
1732203491.154258 1 455 454
1732203491.554266 1 456 455
1732203491.954416 1 457 456
1732203492.354442 1 458 457
1732203492.754421 1 459 458
1732203493.154428 1 460 459
1732203493.554281 1 461 460
1732203493.954262 1 462 461
1732203494.354413 1 463 462
1732203494.754392 1 464 463
1732203495.154421 1 465 464
1732203495.554404 0 465 465
1732203495.954416 1 466 465
1732203496.354269 0 466 466
1732203496.75438 1 467 466
1732203497.154373 0 467 467
1732203497.554362 1 468 467
1732203497.954505 1 469 468
1732203498.354457 1 470 469
1732203498.754191 1 471 470
1732203499.154175 1 472 471
1732203499.554351 1 473 472
1732203499.954352 1 474 473
1732203500.421042 1 475 474
1732203500.821015 1 476 475
1732203501.154138 1 477 476
1732203501.620815 0 477 477
1732203501.955007 1 478 477
1732203502.421007 1 479 478
1732203502.820981 1 480 479
1732203503.221091 1 481 480
1732203503.620788 1 482 481
1732203504.020793 1 483 482
1732203504.420939 1 484 483
1732203504.820975 1 485 484
1732203505.220977 1 486 485
1732203505.620956 1 487 486
1732203506.020767 0 487 487
